"","y","raw_text"
"28","Robert Lighthizer","This is an historic day for the United States"
"29","Robert Lighthizer"," Today, for the first time, we will start negotiating to revise a major free trade agreement"
"30","Robert Lighthizer","  American politicians have been promising to renegotiate NAFTA for years, but today President Trump is going to fulfill those promises"
"31","Robert Lighthizer","  I want to thank members of Congress, and their staffs, who have helped lay the groundwork for these negotiations"
"32","Robert Lighthizer","  We look forward to working with them now and in the future as things proceed"
"33","Robert Lighthizer","  I would also like to thank the members of our advisory committees, and other stakeholders, who have given USTR their thoughts about how this agreement can be improved"
"34","Robert Lighthizer","  We held three days of hearings, and we received testimony and comments from thousands of stakeholders"
"35","Robert Lighthizer","  Their suggestions are critical to our process, and we appreciate everyone�s help"
"36","Robert Lighthizer","  First, I know we all agree that NAFTA needs updating"
"37","Robert Lighthizer"," This is a 23 year-old agreement and our economies are very different than they were in the 1990�s"
"38","Robert Lighthizer"," We need to modernize or create provisions which protect digital trade and services trade, e-commerce, update customs procedures, protect intellectual property, improve energy provisions, enhance transparency rules, and promote science-based agricultural trade"
"39","Robert Lighthizer","  In each of these areas, hopefully we will develop model provisions that can be used for years ahead and that have the flexibility to adapt to future innovations that we can�t even imagine at this point"
"40","Robert Lighthizer"," This is an important part of our process"
"41","Robert Lighthizer","  After modernizing, the tough work begins"
"42","Robert Lighthizer"," We must balance the legitimate interests of literally millions of people in our countries -- those of farmers, and businesses, and workers and yes, families"
"43","Robert Lighthizer","  Many Americans have benefited from NAFTA"
"44","Robert Lighthizer"," For many of our farmers and ranchers, Canada and Mexico are their largest export markets"
"45","Robert Lighthizer"," Americans send billions of dollars of corn and soybeans, and poultry across our borders to dinner tables throughout North America"
"46","Robert Lighthizer","  These are hardworking people with families who ask little from their government"
"47","Robert Lighthizer"," Many are particularly vulnerable today because of low commodity prices"
"48","Robert Lighthizer","  I�ve always thought that communities along our borders have a particular equity in this agreement"
"49","Robert Lighthizer"," In many cases their lives, businesses, and families are very much on both sides of the dividing line"
"50","Robert Lighthizer"," They too are hardworking men and women trying to raise a families and accumulate wealth"
"51","Robert Lighthizer"," We must keep their interests paramount"
"52","Robert Lighthizer","  But for countless Americans, this agreement has failed"
"53","Robert Lighthizer","  We cannot ignore the huge trade deficits, the lost manufacturing jobs, the businesses that have closed or moved because of incentives -- intended or not -- in the current agreement"
"54","Robert Lighthizer","  The numbers are clear"
"55","Robert Lighthizer"," The U"
"56","Robert Lighthizer","S"
"57","Robert Lighthizer"," Government has certified that at least 700,000 Americans have lost their jobs due to changing trade flows resulting from NAFTA"
"58","Robert Lighthizer"," Many people believe that number is much, much bigger than that"
"59","Robert Lighthizer"," In 1993, when NAFTA was approved, the United States and Mexico experienced relatively balanced trade"
"60","Robert Lighthizer"," However since then, we have had persistent trade deficits � in the last year totaling nearly $57 billion"
"61","Robert Lighthizer"," In the auto sector alone, the U"
"62","Robert Lighthizer","S"
"63","Robert Lighthizer"," has a $68 billion deficit with Mexico"
"64","Robert Lighthizer","  Thousands of American factory workers have lost their jobs because of these provisions"
"65","Robert Lighthizer"," In recent years, we have seen some improvement in our trade balance with Canada"
"66","Robert Lighthizer","  But over the last ten years, our deficit in goods has exceeded $365 billion"
"67","Robert Lighthizer","   The views of the President about NAFTA, which I completely share, are well known"
"68","Robert Lighthizer","  I want to be clear that he is not interested in a mere tweaking of a few provisions and a couple of updated chapters"
"69","Robert Lighthizer","  We feel that NAFTA has fundamentally failed many, many Americans and needs major improvement"
"70","Robert Lighthizer","  Here are some of the examples of what I believe needs to be changed"
"71","Robert Lighthizer"," We need to assure that huge trade deficits do not continue and that we have balance and reciprocity"
"72","Robert Lighthizer","  This should be periodically reviewed"
"73","Robert Lighthizer"," Rules of origin, particularly on autos and auto parts, must require higher NAFTA content and substantial U"
"74","Robert Lighthizer","S"
"75","Robert Lighthizer"," content"
"76","Robert Lighthizer"," Country of origin should be verified, not �deemed"
"77","Robert Lighthizer","� Labor provisions should be included in the agreement and be as strong as possible"
"78","Robert Lighthizer"," The agreement should have effective provisions to guard against currency manipulation"
"79","Robert Lighthizer"," The dispute settlement provisions should be designed to respect our national sovereignty and our democratic processes"
"80","Robert Lighthizer"," We should include provisions to guard against market-distorting practices of other countries, including third-party dumping and state-owned enterprises"
"81","Robert Lighthizer"," We should assure that there is equal access and reciprocity in government procurement and agriculture"
"82","Robert Lighthizer","  These are just a few examples of key priorities for the United States � but I think they are sufficient to show that our task is a very difficult one"
"83","Robert Lighthizer","  On the other hand, the stakes are high for all of our citizens and the benefits of a good agreement can be substantial"
"84","Robert Lighthizer","  My hope is that together we will produce a result which moves us to freer markets, fairer and balanced trade, and stronger ties between our three countries"
"85","Robert Lighthizer","  I look forward to working with Secretary Guajardo and Minister Freeland on this very important effort"
"86","Robert Lighthizer"," Thank you very much, and now we will get down to work"
"87","Robert Lighthizer","  "
"88","Robert L. Wilki","Mr"
"89","Robert L. Wilki"," Chairman, Senator Tester and distinguished members of the Committee on Veterans Affairs"
"90","Robert L. Wilki"," This is the third time I have appeared in the confirmation chair"
"91","Robert L. Wilki"," Just as in 2006 and 2017, my wife Julie is with me"
"92","Robert L. Wilki"," We have known each other since we were youngsters in North Carolina"
"93","Robert L. Wilki"," Our high school was two blocks from the Veterans Hospital in Fayetteville"
"94","Robert L. Wilki"," On our way to and from school we could not help but read the sign at the entrance ��The price of freedom is visible here�"
"95","Robert L. Wilki"," I am humbled today not only by the confidence placed in me by the President and the support of our Veterans Service Organizations, but to be introduced by Senator Tillis"
"96","Robert L. Wilki"," No one better exemplifies what those of us who have come through the military world strive to be�a servant leader"
"97","Robert L. Wilki"," I have been privileged to experience military life from many angles, as the son of a gravely wounded combat soldier; as an officer; as a senior leader in the Pentagon, including leading the Defense Health Agency reform, and eight weeks as Acting Secretary of Veterans Affairs"
"98","Robert L. Wilki"," My modest military service was inspired by my ancestors"
"99","Robert L. Wilki"," I walked the field of Shiloh with my great grandfather, Colonel Abram Somerville"
"100","Robert L. Wilki"," As a young captain of field artillery, he saw thousands perish in minutes in the Meuse Argonne in 1918"
"101","Robert L. Wilki"," In the short time that I was privileged to know him, he impressed upon me the cost paid by ordinary Americans caught up in the incommunicable experience of war"
"102","Robert L. Wilki"," Mr"
"103","Robert L. Wilki"," Chairman my own life changed when my father returned from his second combat tour in Vietnam"
"104","Robert L. Wilki"," I was seven when we received a message that he had been terribly wounded"
"105","Robert L. Wilki"," When he came home after a year in military hospitals, he weighed less than half of what he did when he left us"
"106","Robert L. Wilki"," I watched his agonizing recovery and that experience was on my mind when I was asked to come to VA"
"107","Robert L. Wilki"," 2 As Acting Secretary of Veterans Affairs, I visited five VA hospitals across the country�met with the combined leadership of our three major VA components� Benefits, Health and Cemeteries�and visited our Claims Processing center in Baltimore and the Maryland Veterans Treatment Court presided over by my childhood friend, Judge Halee Weinstein"
"108","Robert L. Wilki"," It is clear that the Veterans population is changing faster than we realize"
"109","Robert L. Wilki"," For the first time in forty years�half of our veterans are under the age of sixty-five"
"110","Robert L. Wilki"," Of America�s twenty million veterans, ten percent are now women"
"111","Robert L. Wilki"," The new generation is computer savvy and demands 21st century service�service that is quick, diverse and close to home"
"112","Robert L. Wilki"," For the VA to thrive as an integrated health care network, it must be agile and adaptive"
"113","Robert L. Wilki"," More importantly, I experienced what can never be duplicated in the private sector�the communal aspect of VA"
"114","Robert L. Wilki"," What does that mean? It means that when our veterans walk into any of VA facility they converse with men and women who speak the unique language of military service"
"115","Robert L. Wilki"," What are the priorities? � Improve the culture�offer world class customer service � Improve access to care through implementation of the MISSION Act and transformative IT Modernization such as the Electronic Health Records Program"
"116","Robert L. Wilki"," � Reduce the backlog of claims and payments"
"117","Robert L. Wilki"," � Business transformation including reform of the human resource systems Mr"
"118","Robert L. Wilki"," Chairman, the prime directive is customer service"
"119","Robert L. Wilki"," When an American veteran comes to VA it is not up to him to employ a team of lawyers to get VA to say YES"
"120","Robert L. Wilki"," It is up to VA to get the Veteran to YES�that is customer service"
"121","Robert L. Wilki"," Many of the issues I encountered as Acting Secretary were not with the quality of medical care but with getting our veterans through the door to reach that care"
"122","Robert L. Wilki"," Those problems are administrative and bureaucratic"
"123","Robert L. Wilki"," Alexander Hamilton said, �The true test of a good government, is its aptitude and tendency to produce a good administration"
"124","Robert L. Wilki","� That is where VA must go"
"125","Robert L. Wilki"," The new Electronic Health Record system is the first step to modernize our appointment system, it is also the template to get us started on the road to automate disability claims and our payment claims particularly to our providers in rural  3 America and those who administer emergency care"
"126","Robert L. Wilki"," More importantly, the interoperability of the new electronic health records system will connect VA to the DOD, private doctors and private pharmacies to create a continuum of care and organize the healthcare around our veteran�s needs"
"127","Robert L. Wilki"," This is also our opportunity to turn the corner and be an industry leader on opioid abuse intervention and suicide prevention"
"128","Robert L. Wilki"," Business transformation to standardize our policies and procedures across the VISNs is also essential if we are to move past the mid-1990s compartmentalized model and give power to the professionals closest to our veterans"
"129","Robert L. Wilki"," This means reforming human resource systems to give those same people more leeway to manage their budgets and recruit, retain and relocate the staff they need to serve veterans"
"130","Robert L. Wilki"," Transformation also means entering into more robust partnerships with our state and local communities to address Veteran homelessness, that particularly plagues our Vietnam Veterans who also suffer the highest rates of suicide"
"131","Robert L. Wilki"," We are also pledged to help veterans transition to a new life in education and nonmilitary careers"
"132","Robert L. Wilki"," If confirmed, I will leverage VA�s strong partnership with Labor, Defense, and other agencies to carry out this pledge"
"133","Robert L. Wilki"," Mr"
"134","Robert L. Wilki"," Chairman, as Secretary Mattis said when this Congress passed a $700 billion Defense budget, there are no more excuses"
"135","Robert L. Wilki"," You have infused VA with a $200 billion budget, you have passed the Accountability Act�to shake up complacency- -and you have passed the Mission Act to bring the institutional VA, community care and caregivers closer together"
"136","Robert L. Wilki"," The future is up to the Department"
"137","Robert L. Wilki"," If confirmed, I pledge to help build on your work"
"138","Robert L. Wilki"," I would like to close with a charge from President Eisenhower"
"139","Robert L. Wilki"," Five months after his inauguration, about forty Korean War Veterans climbed aboard the yacht Williamsburg�many were missing limbs, some were horribly disfigured"
"140","Robert L. Wilki"," When Ike arrived at the pier, the Secret Service ran up the plank to separate the President from his troops"
"141","Robert L. Wilki"," Seeing that, Eisenhower yelled �Halt! I know these men�"
"142","Robert L. Wilki"," The agents retreated, and the soldiers gathered around the President"
"143","Robert L. Wilki"," He addressed them at attention and said there was nothing the country could do for them to compensate for what they had given to America but, he said, �You never put away your uniform"
"144","Robert L. Wilki"," You must get well, to remind your countrymen every day that freedom is never free�"
"145","Robert L. Wilki","   Mr"
"146","Robert L. Wilki"," Chairman that is why VA must succeed--to remind Americans every day that freedom is not free"
"147","Robert L. Wilki"," "
"148","mnuchin","Thank you very much"
"149","mnuchin"," Chairman Hatch, Ranking Member Wyden, and members of the committee, it is an honor to appear before you today"
"150","mnuchin"," I am grateful and humbled by Presidentelect Trump nominating me to serve as Secretary of the Treasury"
"151","mnuchin"," It is truly an honor and a privilege to be considered for this position"
"152","mnuchin","  Thank you to all the members I have already had an opportunity to meet with during this process"
"153","mnuchin"," I enjoyed meeting with you and learning more about the issues that are important to you"
"154","mnuchin"," For those few members whom I did not get a chance to meet with, if confirmed, I look forward to meeting with you as well"
"155","mnuchin"," I would like to thank Chairman Hatch and his staff for taking so much time to work with me and support me through this process"
"156","mnuchin"," In addition, I would like to introduce my fiance�, Louise Linton, and my children, Emma, J"
"157","mnuchin","P"
"158","mnuchin",", and Dylan, who are here with me today, and thank them for their unwavering support"
"159","mnuchin"," I would also like to introduce my brother, Alan Mnuchin, and his wife, Alessandra, and my father, Robert Mnuchin, who has always supported me and taught me that hard work, determination, and the ability to bring people together can make anything possible"
"160","mnuchin"," I would like to acknowledge my late mother, Elaine Terner Cooper, who was an inspiration to me"
"161","mnuchin"," I would also like to acknowledge my grandparents, Emanuel and Mathilda Terner, who were also a tremendous influence in my life"
"162","mnuchin"," My grandfather was a first-generation American whose father emigrated from Europe"
"163","mnuchin"," He truly embodied the American dream"
"164","mnuchin"," He started out blowing glass bottles by hand and later built Midland Glass into one of the largest glass manufacturing companies in the United States, with five factories employing thousands of workers"
"165","mnuchin"," My first job ever was in his factory when I was in high school"
"166","mnuchin"," It was there that I first learned the importance of humility, hard work, and commitment"
"167","mnuchin"," For those of you who do not know my background, I studied economics at Yale University"
"168","mnuchin"," At the age of 22, after graduating from Yale, I got a job at Goldman Sachs, where I spent the next 17 years"
"169","mnuchin"," I started on a folding chair in the mortgage department"
"170","mnuchin","  Nine years later, after many sleepless nights, I was put in charge of mortgages, U"
"171","mnuchin","S"
"172","mnuchin"," Government bonds, and municipal securities"
"173","mnuchin"," Several years after that, I worked directly for future Secretary of the Treasury Hank Paulson as the firm�s chief information officer"
"174","mnuchin"," In that role, I oversaw 5,000 people and a $1-billion budget"
"175","mnuchin"," While at Goldman Sachs, I learned the importance of the financial markets in providing liquidity and capital to businesses, governments, and consumers"
"176","mnuchin"," A few years later, I decided to leave Goldman Sachs to build an investment business"
"177","mnuchin"," After working briefly at ESL Investments, I started my own investment business, Dune Capital Management"
"178","mnuchin"," Throughout my career, my commitment was to my clients and shareholders, for whom I worked tirelessly to get the best results"
"179","mnuchin"," Thirty years later, my commitment is now to the American people, for whom I will work tirelessly by helping to grow our economy and create jobs"
"180","mnuchin"," I am eager to share with you why I believe I will serve well as America�s next Secretary of the Treasury"
"181","mnuchin"," But first I want to correct the record about my involvement with IndyMac Bank"
"182","mnuchin"," Since I was first nominated to serve as Treasury Secretary, I have been maligned for taking advantage of others� hardship in order to earn a buck"
"183","mnuchin"," Nothing could be further than the truth"
"184","mnuchin"," During the summer of 2008, I saw the devastation that was caused by the housing crisis when I watched people line up to get their life savings out of IndyMac Bank"
"185","mnuchin"," It was the middle of the financial crisis and, despite the global panic, I saw a way to save the bank"
"186","mnuchin"," I applied for a banking charter and submitted a bid to the FDIC for IndyMac"
"187","mnuchin"," On December 31st, just before midnight, we signed a binding agreement with the FDIC"
"188","mnuchin"," They later confirmed that our bid was almost $1 billion higher than the next best bid"
"189","mnuchin"," We were willing to invest $1"
"190","mnuchin","6 billion into the most costly bank failure ever to the FDIC deposit fund"
"191","mnuchin"," We did this because we believed in our ability to rebuild and create a successful regional bank"
"192","mnuchin"," We believed in recovery for the American economy"
"193","mnuchin"," Let me be clear: my group had nothing to do with the creation of the risky loans in the IndyMac loan portfolios"
"194","mnuchin"," When we bought the bank, we assumed these bad loans, which had been originated by previous management"
"195","mnuchin"," Some of those individuals had to answer to Federal authorities for their bad lending decisions"
"196","mnuchin"," We invested $1"
"197","mnuchin","6 billion into a failing financial institution when most investors were running for the hills"
"198","mnuchin"," We renamed the business OneWest Bank and saved thousands of jobs"
"199","mnuchin"," We developed a prospering community banking franchise in southern California as most banks were pulling back"
"200","mnuchin"," Over the next 2 years, we bought two more struggling banks from the FDIC: First Federal of Santa Monica and LaJolla Bank, both through competitive bidding"
"201","mnuchin"," Combined, we had over 70 branches and built a robust lending business, especially for small and medium-sized businesses"
"202","mnuchin"," As chairman of the bank, I met with hundreds of business people from all walks of life who were seeking loans to grow their businesses and prosper"
"203","mnuchin"," Like many banks at the time, IndyMac, and its reverse mortgage division, Financial Freedom, was unstable due to the large amount of distressed credit mortgages in its portfolios"
"204","mnuchin"," When we bought IndyMac, these ��legacy loans�� were included in the purchase"
"205","mnuchin"," The responsibility landed on me to clean up the mess others made that we inherited"
"206","mnuchin"," We worked very hard to help homeowners remain in their homes through modifications, wherever possible"
"207","mnuchin"," Ultimately, OneWest extended over 100,000 loan modifications to delinquent borrowers to try to help them out of a bad situation"
"208","mnuchin"," I am proud of the fact that loan modifications started at IndyMac under the leadership of the FDIC"
"209","mnuchin"," However, the FDIC loan modification program did not work for everyone"
"210","mnuchin"," When the FDIC took over IndyMac, they estimated that more than half the foreclosures would not meet their test for a loan modification"
"211","mnuchin"," And they demanded many policy conditions: extend assistance to sympathetic borrowers by establishing affordable and sustainable payments by borrowers, increase the net present value of cash flows to the owner of the loan, and stabilize housing markets"
"212","mnuchin"," My group had to adhere to servicing agreements that limited our ability to make loan modifications that could have helped more borrowers"
"213","mnuchin"," In the press it has been said that I ran a ��foreclosure machine"
"214","mnuchin","�� This is not an accurate description of my role at OneWest Bank"
"215","mnuchin"," On the contrary, I was committed to loan modifications intended to stop foreclosures"
"216","mnuchin"," I ran a ��loan modification machine"
"217","mnuchin","�� When we could do loan modifications, we did them, but many times the FDIC, Fannie Mae, Freddie Mac, and bank trustees imposed strict rules governing the process of these loans"
"218","mnuchin"," I am proud to be able to say that our bank was able to do over 100,000 loans modifications that allowed people the opportunity to stay in their homes"
"219","mnuchin"," Unfortunately, not all of the homes were able to be saved through these programs, and despite my best efforts, some were sadly subject to foreclosure"
"220","mnuchin"," So sincere was my concern over this that in 2010 I instructed my lawyers to sue HSBC, as trustee of the securitized loans, to allow us to do loan modifications on loans in mortgage trusts they oversaw"
"221","mnuchin"," We won on summary judgment and were consequently allowed to do more loan modifications and keep more Americans in their homes"
"222","mnuchin"," Similarly, in 2015, when HUD issued Mortgagee Letter 2015�11, I wrote HUD and asked them to change the policy so we did not have to foreclose on senior citizens who were behind small amounts of money on taxes and insurance"
"223","mnuchin"," I was so troubled by this that I discussed it with our primary regulator, the Office of the Comptroller of the Currency"
"224","mnuchin"," Unfortunately, HUD did not agree, and we were forced to foreclose on senior citizens, even if they only owed $1"
"225","mnuchin"," Not complying with these HUD policies would have subjected the bank to penalties and losses from HUD"
"226","mnuchin"," Despite our inability to save every home from foreclosure, I am proud of the fact that OneWest Bank was the only one of 14 banks that was able to complete the independent foreclosure review that was conducted by the OCC"
"227","mnuchin"," Every one of the 175,000 borrowers who were in the foreclosure process during 2009 and 2010 were able to have an independent review of their loan"
"228","mnuchin"," We had a very low error rate, and independent government reviews routinely showed that we had the most effective loan modifications of any bank"
"229","mnuchin"," If we had not bought IndyMac Bank, the bank would likely have been broken up and sold in pieces to private investors, where the outcome for consumers could have been much more bleak"
"230","mnuchin"," Overall, I helped many homeowners stay in their homes and escape financial ruin through my management of OneWest Bank"
"231","mnuchin"," My experience confirmed that we must identify and eliminate unwise and burdensome policies which contributed to the disastrous outcomes that came in the wake of the financial collapse"
"232","mnuchin"," Many Americans are still suffering from the disastrous ripple effects the 2008 crisis had on our Nation"
"233","mnuchin"," Faithfully ensuring this does not happen again means supporting careful oversight of a financial system which prioritizes the needs of everyday Americans over the wishes of financial institutions or the Federal Government"
"234","mnuchin","  I felt great empathy for the millions of hardworking American families who lost their homes because the system failed them"
"235","mnuchin"," If confirmed as Treasury Secretary, I will work diligently and compassionately for the American people so that we never endure anything like the meltdown of 2008 ever again"
"236","mnuchin"," I was deeply honored when Donald Trump asked me to join his campaign as Finance Chairman"
"237","mnuchin"," I had the opportunity to travel with him and hear firsthand from hardworking Americans about their concerns for the American economy"
"238","mnuchin"," Over the last year, I visited over 50 cities in 26 States"
"239","mnuchin"," I remember attending my first rally with him in Indianapolis"
"240","mnuchin"," It was an unforgettable experience"
"241","mnuchin"," As we arrived into the stadium packed with 20,000 people, I saw the excitement that people had for a Trump presidency"
"242","mnuchin"," On our trip to Flint, MI, I went with the President-elect to visit the water treatment facilities and saw firsthand the crumbling pipes and the devastation caused by that lead-tainted water"
"243","mnuchin"," We met with water engineers and saw the impact it had on that community and the families that live there"
"244","mnuchin"," Across the country on my travels with the President-elect, we heard the pained and heartbreaking stories of Americans who had lost their jobs to workers in foreign countries"
"245","mnuchin"," We heard the concerns of people and small businesses burdened by high taxes just trying to make ends meet"
"246","mnuchin"," In my meetings with you over the last month, you have shared the concerns of your constituents, like farmers who worry about the death tax wiping out the family farms, or workers who are nervous about whether their retirement accounts will be safe from ruin"
"247","mnuchin"," One of the greatest reasons I was drawn to President-elect Trump�s campaign was that it was predicated on a commitment to stimulating prosperity for Americans of all backgrounds, whether they live in the inner city of Detroit, rural North Carolina, the coal country of Ohio or West Virginia, or any place in between"
"248","mnuchin"," I share the President-elect�s goal to economically empower every citizen"
"249","mnuchin"," We will not rest in our mission until that is a reality"
"250","mnuchin"," Among the President-elect�s signature issues in this campaign was reviving trade policies that put the American worker first"
"251","mnuchin"," I will enforce trade policies that keep our currency strong on the world exchanges and create and protect American jobs"
"252","mnuchin"," We will also make America the best place for companies to do business"
"253","mnuchin"," Sensible regulation is a necessity for healthy markets"
"254","mnuchin"," However, I saw firsthand how regulatory excess can inhibit lending by financial institutions, resulting in a lack of access to capital for small businesses and entrepreneurs"
"255","mnuchin"," Alexander Hamilton remarked that the wealth of a nation may be promoted by, quote, ��multiplying the objects of enterprise"
"256","mnuchin","�� Hamilton knew the unique value of entrepreneurial activity to a thriving economy"
"257","mnuchin"," From our Nation�s earliest days, American businesses have been the greatest repository of ingenuity and entrepreneurial spirit in the world"
"258","mnuchin"," We need to unleash that power to generate jobs and create abundance for Americans of all backgrounds"
"259","mnuchin"," We will work diligently to limit regulations, lower taxes on hardworking Americans and small businesses, and get the engine of economic growth firing on all cylinders again"
"260","mnuchin"," In this age of unprecedented online attacks, we must also be vigilant about cybersecurity"
"261","mnuchin"," If confirmed as Secretary of the Treasury, I will use my expertise in technology to protect Americans� information at the IRS and keep our financial architecture safe from malicious attacks"
"262","mnuchin"," I will use the Treasury Department�s Office of Terrorism and Financial Intelligence to stop the financing of terrorism"
"263","mnuchin"," I will partner with other government agencies in our shared goal of allowing our financial markets to operate free from digital and physical threats"
"264","mnuchin"," If I am confirmed as Treasury Secretary, I promise I will work hard with this committee, all members of Congress, and the administration to put forth policies that will help American families reach and maintain prosperity"
"265","mnuchin"," We will make America great again"
"266","mnuchin"," Thank you, and I look forward to answering your questions"
"267","mnuchin"," "
"268","elaine chao","Mr"
"269","elaine chao"," Chairman, I want to take a minute to express my condolences to the friends and loved ones of the victims of Friday�s horrific shooting at Fort Lauderdale-Hollywood International Airport"
"270","elaine chao"," I also want to thank the heroic work that was undertaken by first responders and law enforcement personnel in responding to this shooting"
"271","elaine chao"," Although the investigation remains ongoing, I expect all of us here in Congress to continue exploring ways to protect the traveling public in light of this tragic incident"
"272","elaine chao"," While we made some progress in last year�s FAA bill to double the number of K-9 teams and bolster the screening of airport workers, this shooting serves as reminder that our work to improve airport security remains a constant challenge and is far from complete"
"273","elaine chao"," This year�s FAA reauthorization bill could be a good place to start if more needs to be done to prevent similar tragedies from occurring"
"274","elaine chao"," Mr"
"275","elaine chao"," Chairman, we are here today at a time when our nation is at a crossroads"
"276","elaine chao"," Many of our roads, bridges, tunnels and rails are aging and desperately need to be repaired or replaced"
"277","elaine chao"," Years of neglect and increased demand have brought us to a point where we can no longer sit idly by and watch our country�s most critical infrastructure continue to deteriorate"
"278","elaine chao"," We must step up to the challenge"
"279","elaine chao"," We must commit to build the next generation of great American infrastructure or risk harming our economy and global competitiveness by failing to do so"
"280","elaine chao"," That means investing in projects that will move people and goods for decades to come, such a � Ports � like those in my state of Florida that are responsible for moving goods in and out of our country � Rails and highways that move those goods throughout our states � Transit and rail projects that get Americans to work � Airports and passenger rail projects that connect our communities, and � Technologies of tomorrow that will move people and goods more efficiently and more safely"
"281","elaine chao"," These projects will also create good paying jobs � whether it�s the construction worker laying the foundation for a new project, an engineer doing the design work, or the steel worker making the parts"
"282","elaine chao"," The benefits of updating and expanding our transportation infrastructure can produce thunderous ripple effects � creating new developments, generating increased investments, and driving new economic opportunities"
"283","elaine chao"," This is what our country needs now and for the future"
"284","elaine chao"," But it takes a strong commitment from Congress and the administration, and it will take a significant amount of funding"
"285","elaine chao"," Secretary Chao, I hope we�ll hear more from you today on the incoming administration�s plan and how you intend to pay for it"
"286","elaine chao"," Our nation�s transportation challenges include more than deteriorating roads and bridges"
"287","elaine chao"," Safety continues to be a serious problem across all of our transportation sectors"
"288","elaine chao"," The last two years marked a continuing and disturbing trend of rising fatalities on our highways, reversing the significant progress we�ve seen over a half century"
"289","elaine chao"," The department must aggressively use all of its authority and resources to bring these numbers down, whether its cracking down on drunk and distracted driving, increasing seatbelt use, or getting defective vehicles � such as those with exploding Takata airbags � fixed immediately"
"290","elaine chao"," And the department must also prepare for the future"
"291","elaine chao"," As I speak, automakers are rapidly moving toward commercializing autonomous technology and self-driving cars"
"292","elaine chao"," The department must play a central role in ensuring that this technology is truly safe for the American public"
"293","elaine chao"," Aviation safety is also critical"
"294","elaine chao"," An important task before the committee this year is FAA reauthorization, which is currently set to expire on September 30, 2017"
"295","elaine chao"," Chairman Thune and I worked hard on a bipartisan and comprehensive FAA reauthorization bill last year, which passed the Senate by 95 to 3"
"296","elaine chao"," Unfortunately, our reauthorization bill stalled in the House given a proposal there to privatize Air Traffic Control (ATC) services"
"297","elaine chao"," Besides being costly and disruptive in implementation, such a privatization scheme would upset the partnership between the FAA and the Department of Defense, which provides 15 to 20 percent of ATC services in this country"
"298","elaine chao"," Last, but certainly not least Secretary Chao, I hope we�ll get a commitment from you that you�ll look out for the traveling public by ensuring they have basic consumer protections"
"299","elaine chao"," This means working with us in Congress to make sure that airline passengers know what they are paying for upfront and that these costs are fair"
"300","elaine chao"," These provisions had broad bipartisan support in last year�s FAA reauthorization bill, and we should get them across the finish line this year"
"301","elaine chao"," I look forward to hearing from you, especially about your plans to invest in our country�s future and ensure a safe transportation system for all"
"302","mike pomeo","Senator Dole, thank you for your kind words"
"303","mike pomeo"," But more importantly, thank you for the great service you have performed for Kansas and for America both in your life as an elected official, as a soldier in WWII and as a patriot who worked so hard to build the memorial to honor those who fought in that war"
